language_dependency,function_name,line_number,call_body
paste0,summary.rpart,59,"paste0(cuts, ifelse(temp >= 2L, "","", ifelse(temp == 1L, "" to the right,"", "" to the left, "")))"
print,summary.rpart,24,"print(x$cptable, digits = digits)"
print,summary.rpart,29,"print(temp[temp > 0])"
round,summary.rpart,26,"round(100 * temp/sum(temp))"
round,summary.rpart,106,"round(agree, 3L)"
round,summary.rpart,107,"round(adj, 3L)"
row.names,summary.rpart,34,"row.names(ff)"
rownames,summary.rpart,43,"rownames(x$splits)"
seq,summary.rpart,87,"seq(index[i], length.out = 1L + ff$ncompete[i])"
seq,summary.rpart,97,"seq(1L + index[i] + ff$ncompete[i],
                     length.out = ff$nsurrogate[i])"
seq_along,summary.rpart,37,"seq_along(id)"
seq_along,summary.rpart,46,"seq_along(cuts)"
seq_along,summary.rpart,68,"seq_along(rows)"
signif,summary.rpart,48,"signif(x$splits[i, 4L], digits)"
signif,summary.rpart,50,"signif(x$splits[i, 4L], digits)"
signif,summary.rpart,74,"signif(ff$complexity[i], digits)"
signif,summary.rpart,92,"signif(x$splits[j, 3L], digits)"
sink,summary.rpart,10,"sink(file)"
sink,summary.rpart,11,"sink()"
stop,summary.rpart,4,"stop(""Not a legitimate \""rpart\"" object"")"
sum,summary.rpart,26,"sum(temp)"
