language_dependency,function_name,line_number,call_body
match,xpred.rpart,21,"match(c("""", ""formula"", ""data"", ""weights"", ""subset"",
                                  ""na.action""), names(fit$call), 0L)"
match,xpred.rpart,56,"match(names(xlevels), colnames(X))"
matrix,xpred.rpart,141,"matrix(pred, nrow = nrow(X), byrow = TRUE,
               dimnames = list(rownames(X), format(cp)))"
missing,xpred.rpart,61,"missing(cp)"
model.extract,xpred.rpart,28,"model.extract(m, ""weights"")"
model.extract,xpred.rpart,31,"model.extract(m, ""response"")"
names,xpred.rpart,22,"names(fit$call)"
names,xpred.rpart,55,"names(xlevels)"
names,xpred.rpart,56,"names(xlevels)"
ncol,xpred.rpart,36,"ncol(Y)"
ncol,xpred.rpart,40,"ncol(Y)"
ncol,xpred.rpart,44,"ncol(Y)"
ncol,xpred.rpart,49,"ncol(X)"
ncol,xpred.rpart,105,"ncol(Y)"
nrow,xpred.rpart,48,"nrow(X)"
nrow,xpred.rpart,71,"nrow(X)"
nrow,xpred.rpart,137,"nrow(X)"
nrow,xpred.rpart,141,"nrow(X)"
paste,xpred.rpart,34,"paste(""rpart"", method, sep = ""."")"
pmatch,xpred.rpart,10,"pmatch(method, c(""anova"", ""poisson"", ""class"", ""user"", ""exp""))"
quote,xpred.rpart,24,"quote(stats::model.frame)"
rep,xpred.rpart,50,"rep(1, nobs)"
rep,xpred.rpart,52,"rep(0, nvar)"
rep,xpred.rpart,70,"rep(1L:xval, length.out = nobs)"
rep,xpred.rpart,88,"rep(1, nvar)"
rownames,xpred.rpart,138,"rownames(X)"
rownames,xpred.rpart,142,"rownames(X)"
sample,xpred.rpart,70,"sample(rep(1L:xval, length.out = nobs), nobs, replace = FALSE)"
sqrt,xpred.rpart,63,"sqrt(cp * c(10, cp[-length(cp)]))"
stats::model.frame,xpred.rpart,24,"quote(stats::model.frame)"
stop,xpred.rpart,7,"stop(""Invalid fit object"")"
stop,xpred.rpart,83,"stop(""Wrong length for 'xval'"")"
stop,xpred.rpart,84,"stop(""Wrong length for 'xval'"")"
storage.mode<-,xpred.rpart,114,"storage.mode(Y) <- ""double"""
storage.mode<-,xpred.rpart,115,"storage.mode(X) <- ""double"""
storage.mode<-,xpred.rpart,116,"storage.mode(wt) <- ""double"""
unique,xpred.rpart,73,"unique(xgroups)"
unique,xpred.rpart,82,"unique(xgroups)"
unlist,xpred.rpart,57,"unlist(lapply(xlevels, length))"
unlist,xpred.rpart,117,"unlist(parms)"
unlist,xpred.rpart,122,"unlist(controls)"
